Country;0-9;okt.19;20-29;30-39;40-49;50-59;60-69;70-79;80-99;Total population
Qatar;0,09;0,08;0,25;0,29;0,16;0,09;0,03;0,01;0;2 881 060
Saudi Arabia;0,17;0,14;0,15;0,2;0,18;0,09;0,04;0,01;0;34 813 867
State of Palestine;0,27;0,22;0,19;0,13;0,09;0,06;0,03;0,02;0;5 101 416
Syrian Arab Republic;0,21;0,19;0,18;0,17;0,11;0,07;0,05;0,02;0,01;17 500 657
Turkey;0,16;0,16;0,16;0,15;0,14;0,11;0,07;0,04;0,02;84 339 067
United Arab Emirates;0,1;0,09;0,22;0,32;0,16;0,08;0,02;0,01;0;9 890 400
Yemen;0,27;0,23;0,19;0,14;0,08;0,05;0,03;0,01;0;29 825 968
Kazakhstan;0,21;0,14;0,14;0,16;0,12;0,11;0,08;0,03;0,01;18 776 707
Kyrgyzstan;0,23;0,17;0,17;0,16;0,11;0,09;0,06;0,02;0,01;6 524 191
Tajikistan;0,27;0,19;0,17;0,15;0,09;0,07;0,04;0,01;0;9 537 642
Turkmenistan;0,22;0,17;0,17;0,16;0,12;0,09;0,06;0,02;0,01;6 031 187
Uzbekistan;0,2;0,16;0,18;0,17;0,12;0,09;0,06;0,02;0,01;33 469 199
Afghanistan;0,28;0,25;0,18;0,12;0,08;0,05;0,03;0,01;0;38 928 341
Bangladesh;0,18;0,19;0,18;0,16;0,13;0,09;0,04;0,02;0,01;164 689 383
Bhutan;0,16;0,18;0,2;0,18;0,12;0,08;0,05;0,03;0,01;771 612
India;0,17;0,18;0,17;0,16;0,12;0,09;0,06;0,03;0,01;1 380 004 385
Iran (Islamic Republic of);0,17;0,14;0,15;0,2;0,14;0,1;0,06;0,03;0,01;83 992 953
Maldives;0,13;0,11;0,26;0,25;0,12;0,07;0,03;0,02;0,01;540 542
Nepal;0,19;0,21;0,2;0,13;0,1;0,08;0,05;0,03;0,01;29 136 808
Pakistan;0,24;0,21;0,18;0,14;0,1;0,07;0,04;0,02;0,01;220 892 331
Sri Lanka;0,16;0,16;0,14;0,13;0,13;0,12;0,09;0,05;0,01;21 413 250
China;0,12;0,12;0,13;0,16;0,15;0,15;0,11;0,05;0,02;1 439 323 774
China, Hong Kong SAR;0,09;0,07;0,12;0,15;0,15;0,16;0,14;0,07;0,05;7 496 988
China, Macao SAR;0,11;0,07;0,14;0,2;0,14;0,15;0,12;0,05;0,02;649 342
China, Taiwan Province of China;0,09;0,09;0,13;0,15;0,16;0,15;0,13;0,06;0,04;23 816 775
Dem. People's Republic of Korea;0,13;0,14;0,15;0,14;0,14;0,14;0,08;0,05;0,02;25 778 815
Japan;0,08;0,09;0,1;0,11;0,15;0,13;0,13;0,13;0,09;126 476 458
Mongolia;0,22;0,15;0,15;0,17;0,13;0,1;0,05;0,02;0,01;3 278 292
Korea, South;0,08;0,09;0,13;0,14;0,16;0,17;0,13;0,07;0,03;51 269 183
Brunei Darussalam;0,15;0,15;0,16;0,18;0,16;0,11;0,07;0,02;0,01;437 483
